words,word_players,match_id,team_name,outcome,goals_scored,goals_conceded,season_half,K,beta
Pass-Ball Receipt-Carry-Pass-Ball Receipt,Ayoze Pérez Gutiérrez-Juan Marcos Foyth-Juan Marcos Foyth-Juan Marcos Foyth-Yeremy Jesús Pino Santos,3946654,Villarreal,Won,1,0,Second half,1.514696936918147,0.754876490291813
Miscontrol-Pass,Yeremy Jesús Pino Santos-Yeremy Jesús Pino Santos,3946654,Villarreal,Won,1,0,Second half,1.514696936918147,0.754876490291813
Pressure,Logan Costa,3946654,Villarreal,Won,1,0,Second half,1.514696936918147,0.754876490291813
Dribbled Past-Pressure,Logan Costa-Yeremy Jesús Pino Santos,3946654,Villarreal,Won,1,0,Second half,1.514696936918147,0.754876490291813
Pressure,Yeremy Jesús Pino Santos,3946654,Villarreal,Won,1,0,Second half,1.514696936918147,0.754876490291813
Duel-Ball Recovery-Carry,Yeremy Jesús Pino Santos-Logan Costa-Logan Costa,3946654,Villarreal,Won,1,0,Second half,1.514696936918147,0.754876490291813
Pass-Ball Receipt-Pass-Ball Receipt-Carry,Logan Costa-Daniel Parejo Muñoz-Daniel Parejo Muñoz-Sergi Cardona Bermúdez-Sergi Cardona Bermúdez,3946654,Villarreal,Won,1,0,Second half,1.514696936918147,0.754876490291813
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Sergi Cardona Bermúdez-Santiago Comesaña Veiga-Santiago Comesaña Veiga-Santiago Comesaña Veiga-Logan Costa-Logan Costa,3946654,Villarreal,Won,1,0,Second half,1.514696936918147,0.754876490291813
Pass,Logan Costa,3946654,Villarreal,Won,1,0,Second half,1.514696936918147,0.754876490291813
Ball Receipt-Carry,Thierno Barry-Thierno Barry,3946654,Villarreal,Won,1,0,Second half,1.514696936918147,0.754876490291813
Foul Won-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass,Thierno Barry-Logan Costa-Francisco Femenía Far-Francisco Femenía Far-Juan Marcos Foyth-Juan Marcos Foyth-Juan Marcos Foyth,3946654,Villarreal,Won,1,0,Second half,1.514696936918147,0.754876490291813
Ball Receipt-Carry-Miscontrol,Thierno Barry-Thierno Barry-Thierno Barry,3946654,Villarreal,Won,1,0,Second half,1.514696936918147,0.754876490291813
Pressure,Santiago Comesaña Veiga,3946654,Villarreal,Won,1,0,Second half,1.514696936918147,0.754876490291813
Dribbled Past,Santiago Comesaña Veiga,3946654,Villarreal,Won,1,0,Second half,1.514696936918147,0.754876490291813
Pressure,Nicolas Pépé,3946654,Villarreal,Won,1,0,Second half,1.514696936918147,0.754876490291813
Pressure,Juan Marcos Foyth,3946654,Villarreal,Won,1,0,Second half,1.514696936918147,0.754876490291813
Duel-Ball Recovery-Carry,Juan Marcos Foyth-Santiago Comesaña Veiga-Santiago Comesaña Veiga,3946654,Villarreal,Won,1,0,Second half,1.514696936918147,0.754876490291813
