words,word_players,match_id,team_name,outcome,goals_scored,goals_conceded,season_half,K,beta
Pass-Ball Receipt-Carry-Pass,Ibrahima Sissoko-Jakov Medić-Jakov Medić-Jakov Medić,3949694,Bochum,Lost,0,1,Second half,1.939662155353682,0.7015220882455474
Pressure,Matúš Bero,3949694,Bochum,Lost,0,1,Second half,1.939662155353682,0.7015220882455474
Foul Committed,Matúš Bero,3949694,Bochum,Lost,0,1,Second half,1.939662155353682,0.7015220882455474
Block-Clearance,Ibrahima Sissoko-Jakov Medić,3949694,Bochum,Lost,0,1,Second half,1.939662155353682,0.7015220882455474
Pressure,Jakov Medić,3949694,Bochum,Lost,0,1,Second half,1.939662155353682,0.7015220882455474
Block-Goal Keeper,Jakov Medić-Timo Horn,3949694,Bochum,Lost,0,1,Second half,1.939662155353682,0.7015220882455474
Block-Goal Keeper,Bernardo Fernandes da Silva Junior-Timo Horn,3949694,Bochum,Lost,0,1,Second half,1.939662155353682,0.7015220882455474
Clearance-Pass-Ball Receipt-Carry,Bernardo Fernandes da Silva Junior-Felix Passlack-Maximilian Wittek-Maximilian Wittek,3949694,Bochum,Lost,0,1,Second half,1.939662155353682,0.7015220882455474
Foul Won-Pass-Ball Receipt-Carry-Pass,Maximilian Wittek-Matúš Bero-Felix Passlack-Felix Passlack-Felix Passlack,3949694,Bochum,Lost,0,1,Second half,1.939662155353682,0.7015220882455474
Ball Recovery-Carry,Felix Passlack-Felix Passlack,3949694,Bochum,Lost,0,1,Second half,1.939662155353682,0.7015220882455474
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Felix Passlack-Tim Oermann-Tim Oermann-Tim Oermann-Timo Horn-Timo Horn-Tom Krauß-Tom Krauß-Tom Krauß-Bernardo Fernandes da Silva Junior-Bernardo Fernandes da Silva Junior-Bernardo Fernandes da Silva Junior-Tom Krauß-Tom Krauß-Tom Krauß-Timo Horn-Timo Horn,3949694,Bochum,Lost,0,1,Second half,1.939662155353682,0.7015220882455474
Pass-Ball Receipt,Timo Horn-Philipp Hofmann,3949694,Bochum,Lost,0,1,Second half,1.939662155353682,0.7015220882455474
Pass-Ball Receipt-Carry,Jakov Medić-Ibrahima Sissoko-Ibrahima Sissoko,3949694,Bochum,Lost,0,1,Second half,1.939662155353682,0.7015220882455474
Pass,Ibrahima Sissoko,3949694,Bochum,Lost,0,1,Second half,1.939662155353682,0.7015220882455474
Ball Receipt-Pass,Timo Horn-Timo Horn,3949694,Bochum,Lost,0,1,Second half,1.939662155353682,0.7015220882455474
